name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Braemar Arena,7501 Ikola Way,Edina,MN,44.8676,-93.3929,NHL,True,(952) 833-9506,https://braemararena.com,"Pro Shop, Locker Rooms, Concessions",6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM
Schwan Super Rink,1750 105th Avenue NE,Blaine,MN,45.1607,-93.2235,NHL,True,(763) 785-5656,https://nscsports.org/facilities/superrink/,"Multiple NHL Sheets, Pro Shop, Concessions, Locker Rooms",,,,,,,
Ridder Arena,1901 4th Street SE,Minneapolis,MN,44.9779,-93.2291,NHL,True,(612) 625-5804,https://gophersports.com/sports/2018/5/21/facilities-ridder-arena-html,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
3M Arena at Mariucci,4 Oak Street SE,Minneapolis,MN,44.9785,-93.2262,NHL,True,(612) 625-5804,https://gophersports.com/sports/2018/5/21/facilities-mariucci-skating-html,"Pro Shop, Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Parade Ice Garden,600 Kenwood Parkway,Minneapolis,MN,44.9708,-93.2952,NHL,True,(612) 370-4904,https://www.minneapolisparks.org/activities-events/winter_activities/ice_rinks/parade_ice_garden/,"Pro Shop, Skate Rental, Locker Rooms",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Amsoil Arena,350 Harbor Drive,Duluth,MN,46.7810,-92.0967,NHL,True,(218) 722-5573,https://decc.org/venue/amsoil-arena/,"Pro Shop, Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Eagan Civic Arena,3870 Pilot Knob Rd,Eagan,MN,44.8161,-93.1660,NHL,True,(651) 675-5589,https://enjoyeagan.com/venue/eagan-civic-arena/,"Locker Rooms, Concessions",,,,,,,
Bloomington Ice Garden,3600 West 98th Street,Bloomington,MN,44.8270,-93.3271,NHL,True,(952) 563-8841,https://www.bloomingtonmn.gov/big/bloomington-ice-garden,"Pro Shop, Locker Rooms, Concessions",6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM
Burnsville Ice Center,251 Civic Center Pkwy,Burnsville,MN,44.7656,-93.2722,NHL,True,(952) 895-4651,https://www.burnsvillemn.gov/217/Burnsville-Ice-Center,"Pro Shop, Locker Rooms, Concessions",5:00 AM - 11:50 PM,5:00 AM - 11:50 PM,5:00 AM - 11:50 PM,5:00 AM - 11:50 PM,5:00 AM - 11:50 PM,5:00 AM - 11:50 PM,5:00 AM - 11:50 PM
Richfield Ice Arena,636 E 66th St,Richfield,MN,44.8854,-93.2648,NHL,True,(612) 861-9350,https://www.richfieldmn.gov/icearena,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Minnetonka Ice Arena,3401 Williston Road,Minnetonka,MN,44.9426,-93.4670,NHL,True,(952) 939-8310,https://www.minnetonkamn.gov/our-city/recreation-facilities/minnetonka-ice-arena,"2 Sheets, Pro Shop, Locker Rooms",8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM
Apple Valley Sports Arena,14452 Hayes Rd,Apple Valley,MN,44.7421,-93.2329,NHL,True,(952) 953-2366,https://www.applevalleymn.gov/1226/Arenas,"Locker Rooms, Concessions, Seasonal Ice (Oct-Mar)",9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM
Rochester Recreation Center,21 Elton Hills Dr NW,Rochester,MN,44.0426,-92.4618,NHL,True,(507) 328-2500,https://www.rochestermn.gov/departments/parks-and-recreation/parks-trails-recreation-facilities/rochester-recreation-center-sports-facility,"2 NHL Sheets, Locker Rooms, Concessions",,,,,,,
